"paragraph_i";"sentence_j";"label_binary_test_set_mistral_annotated";"headline";"paragraph_text";"year";"sentence_text";"date";"newspaper";"content";"article_id";"label_component_test_set_mistral_annotated";"label_binary_test_set_llama_annotated";"label_component_test_set_llama_annotated";"label_binary_test_set_deepseek_annotated";"label_component_test_set_deepseek_annotated";"label_binary_test_set_magistral_annotated";"label_component_test_set_magistral_annotated";"label_binary_final";"label_component_final";"label_source"
"0";"3";"argumentative";"Turba derriba reja del Gran Mercado Mayorista";"Decenas de personas derribaron las rejas de la puerta principal del Gran Mercado Mayorista de Santa Anita la madrugada de ayer, según se aprecia en videos difundidos en las redes sociales. El grupo de personas se desespera porque aún no les daban la autorización para ingresar. El desorden visto en esta entrada del Gran Mercado, también se apreció en las vías contiguas. El presidente de la junta y empresarios comerciantes del Mercado Mayorista de Lima, Pedro Orellana, descartó que hayan sido los vendedores los causantes del desorden y culpó a haitianos. La Municipalidad de Lima colocará agentes del Serenazgo y la Policía Nacional para la seguridad de usuarios y comerciantes.";"2020";"El presidente de la junta y empresarios comerciantes del Mercado Mayorista de Lima, Pedro Orellana, descartó que hayan sido los vendedores los causantes del desorden y culpó a haitianos.";"2020-05-06";"correo";"Decenas de personas derribaron las rejas de la puerta principal del Gran Mercado Mayorista de Santa Anita la madrugada de ayer, según se aprecia en videos difundidos en las redes sociales. El grupo de personas se desespera porque aún no les daban la autorización para ingresar. El desorden visto en esta entrada del Gran Mercado, también se apreció en las vías contiguas. El presidente de la junta y empresarios comerciantes del Mercado Mayorista de Lima, Pedro Orellana, descartó que hayan sido los vendedores los causantes del desorden y culpó a haitianos. La Municipalidad de Lima colocará agentes del Serenazgo y la Policía Nacional para la seguridad de usuarios y comerciantes.";"ART_000004";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"auto"
"0";"1";"argumentative";"Gamarra atraviesa uno de sus peores momentos por la informalidad";"El más grande emporio comercial de La Victoria atraviesa por uno de sus peores momentos. Gamarra ya no da más, dijo Susana Saldaña, presidenta de la coordinadora de empresarios de la zona. La venta ambulatoria informal, el reducido acceso de puertas —que ahora solo son 10 habilitadas de las 32 que existen-, y las condiciones exigentes a los comerciantes para ingresar su mercadería, están llevando a Gamarra al cierre de sus negocios.";"2020";"Gamarra ya no da más, dijo Susana Saldaña, presidenta de la coordinadora de empresarios de la zona.";"2020-08-04";"correo";"El más grande emporio comercial de La Victoria atraviesa por uno de sus peores momentos. Gamarra ya no da más, dijo Susana Saldaña, presidenta de la coordinadora de empresarios de la zona. La venta ambulatoria informal, el reducido acceso de puertas —que ahora solo son 10 habilitadas de las 32 que existen-, y las condiciones exigentes a los comerciantes para ingresar su mercadería, están llevando a Gamarra al cierre de sus negocios. Vamos a lamentar que, a fin de año, Gamarra haya perdido el 50 por ciento de su masa laboral y un porcentaje similar de su masa empresarial. De 31 mil 900 negocios, a la mitad. De 100 mil puestos de trabajo, a la mitad. Eso es lo que va a ocurrir, advirtió Saldaña. Agregó que los ambulantes han tomado los alrededores de Gamarra, en un radio de cinco cuadras, y que las autoridades no ponen orden.";"ART_000025";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"auto"
"0";"5";"non-argumentative";"España fue el destino más visitado";"Más de 750 mil peruanos logran viajar a países del espacio Schengen de la Unión Europea después de que en marzo de 2016 se eximió el requisito de la visa para ingresar en esa región como turistas, informó Migraciones. La institución reveló que el país más visitado por nuestros compatriotas fue España, donde llegaron al menos 520 mil. No obstante, señalaron que muchos de estos llegaron al país ibérico solo para hacer una conexión hacia otras naciones europeas o incluso, a otros continentes. Según se informó, el segundo destino preferido por los peruanos, desde que se eliminó el requisito de la visa especial, ha sido los Países Bajos (Holanda), adonde acudieron más de 136 mil connacionales. En tanto, el tercer país con mayor número de visitantes peruanos es Francia, adonde arribaron, en vuelo directo, 88 mil compatriotas en los últimos tres años. Italia (7933), Alemania (2228), Suiza (935), Suecia (354), Bélgica (284), entre otras naciones, son los otros destinos que recibieron a un número considerable de visitantes peruanos.";"2019";"Italia (7933), Alemania (2228), Suiza (935), Suecia (354), Bélgica (284), entre otras naciones, son los otros destinos que recibieron a un número considerable de visitantes peruanos.";"2019-05-05";"correo";"Más de 750 mil peruanos logran viajar a países del espacio Schengen de la Unión Europea después de que en marzo de 2016 se eximió el requisito de la visa para ingresar en esa región como turistas, informó Migraciones. La institución reveló que el país más visitado por nuestros compatriotas fue España, donde llegaron al menos 520 mil. No obstante, señalaron que muchos de estos llegaron al país ibérico solo para hacer una conexión hacia otras naciones europeas o incluso, a otros continentes. Según se informó, el segundo destino preferido por los peruanos, desde que se eliminó el requisito de la visa especial, ha sido los Países Bajos (Holanda), adonde acudieron más de 136 mil connacionales. En tanto, el tercer país con mayor número de visitantes peruanos es Francia, adonde arribaron, en vuelo directo, 88 mil compatriotas en los últimos tres años. Italia (7933), Alemania (2228), Suiza (935), Suecia (354), Bélgica (284), entre otras naciones, son los otros destinos que recibieron a un número considerable de visitantes peruanos.";"ART_000052";"none";"non-argumentative";"none";"non-argumentative";"none";"non-argumentative";"none";"non-argumentative";"none";"auto"
"2";"3";"argumentative";"Amigo resultó herido tras balacera en Plaza Gala";"La Policía investiga que el móvil del ataque podría ser el robo, aunque no se descarta un crimen pasional. El padre de Diego Armando, herido de bala, reveló que hace un mes su hijo había sido amenazado por un sujeto conocido como Harty, supuestamente por un rollo de faldas. En tanto, los familiares del fallecido, quien se desempeñaba como albañil, señalaron como asesinos a unos sujetos conocidos como Papita y Juanchito. Exigieron la pronta captura de estos.";"2016";"Exigieron la pronta captura de estos.";"2016-07-16";"correo";"Un obrero fue asesinado a balazos la noche del jueves cuando regresaba de un velorio. Estaba en un mototaxi cuando fue atacado por delincuentes en Los Olivos. Felix Manuel Ortiz Lucero (27), la víctima, estaba abordo de un mototaxi junto a José. Según contaron los familiares, después de haber asistido al velorio de un pariente, un sujeto fue asesinado a balazos. La Policía cree que los asesinos equivocaron el objetivo. Alberto Velázquez Castillo y los hermanos de este, identificados como Anthony, Marcos y Diego, están implicados. Dos sujetos encapuchados se acercaron a la unidad y dispararon sin advertencia, según revelan las imágenes de las cámaras de videovigilancia que hay en la zona. Félix Ortiz fue herido en la cabeza y el pecho, mientras que Diego Velázquez recibió un impacto de bala en el abdomen. Ambos fueron llevados al Hospital Cayetano Heredia, pero al poco tiempo Ortiz falleció. La Policía investiga que el móvil del ataque podría ser el robo, aunque no se descarta un crimen pasional. El padre de Diego Armando, herido de bala, reveló que hace un mes su hijo había sido amenazado por un sujeto conocido como Harty, supuestamente por un rollo de faldas. En tanto, los familiares del fallecido, quien se desempeñaba como albañil, señalaron como asesinos a unos sujetos conocidos como Papita y Juanchito. Exigieron la pronta captura de estos. La Divincri de Los Olivos se hizo cargo de las investigaciones y realizó operativos por todo el distrito.";"ART_000058";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"auto"
"0";"1";"argumentative";"Protestan por inseguridad en el Mercado de Frutas";"Los comerciantes del Mercado Mayorista de Frutas, ubicado en La Victoria, protestaron ayer con pancartas en mano para denunciar la inseguridad que viven a diario, tanto ellos como sus clientes, en las inmediaciones de dicho centro de abastos. Según contaron, a la semana ocurren hasta 30 robos, que son captados por sus 66 cámaras de seguridad: cogoteos, arrebatos y hurtos… Los vendedores y dueños culpan del incremento de los hechos delictivos a la obra abandonada de la avenida Arriola y al comercio informal.";"2019";"Según contaron, a la semana ocurren hasta 30 robos, que son captados por sus 66 cámaras de seguridad: cogoteos, arrebatos y hurtos…";"2019-03-28";"correo";"Los comerciantes del Mercado Mayorista de Frutas, ubicado en La Victoria, protestaron ayer con pancartas en mano para denunciar la inseguridad que viven a diario, tanto ellos como sus clientes, en las inmediaciones de dicho centro de abastos. Según contaron, a la semana ocurren hasta 30 robos, que son captados por sus 66 cámaras de seguridad: cogoteos, arrebatos y hurtos… Los vendedores y dueños culpan del incremento de los hechos delictivos a la obra abandonada de la ampliación de la avenida Arriola y al comercio informal.";"ART_000067";"premise";"argumentative";"premise";"argumentative";"premise";"argumentative";"premise";"argumentative";"premise";"auto"
"0";"1";"non-argumentative";"Cambistas de San Isidro tendrán que dejar calles por locales";"Más seguridad en calles. Pará aumentar flota 4 Oz Linea 1 Veinte trenes llegaran a Lima a fines de 2017 El MTC y concesionaria del servicio firman adenda de contrato para realizar compra y otras obras Grecia Llanos";"2016";"Pará aumentar flota 4 Oz Linea 1";"2016-07-12";"correo";"Más seguridad en calles. Pará aumentar flota 4 Oz Linea 1 Veinte trenes llegaran a Lima a fines de 2017 El MTC y concesionaria del servicio firman adenda de contrato para realizar compra y otras obras Grecia Llanos Al parecer por un tema de seguridad, la comuna de San Isidro decidi aprobar una ordenanza para que, desde octubre, los cambistas de moneda extranjera dejen realizar las transacciones en las calles de ese distrito. No podemos seguir arriesgando la vida de nuestras familias al permitir que se continúe manejando grandes sumas de dinero en la calle. Este tipo de comercios es siempre un harén para la delincuencia hoy en día, recalcó el alcalde Manuel Velarde. Los cambistas anunciaron la medida como un abuso municipal, pues hallar un local en el citado distrito es muy costoso.";"ART_000093";"none";"non-argumentative";"none";"non-argumentative";"none";"non-argumentative";"none";"non-argumentative";"none";"auto"
"0";"1";"argumentative";"Presidente Humala precisa que los ciudadanos peruanos están exonerados de la visa Schengen";"Desde hoy, las puertas de 30 países del Viejo Continente están abiertas para los peruanos sin necesidad de tramitar la visa Schengen. Esto es posible luego de que el Gobierno peruano y la Unión Europea suscribieran ayer el convenio que exonera a los ciudadanos de nuestro país de presentar este documento. La firma de este importante acuerdo se realizó en la sede del Parlamento Europeo, en Bruselas (Bélgica), con la presencia del presidente Ollanta Humala, la ministra de Relaciones Exteriores, Ana María Sánchez, y altos funcionarios de la Unión Europea.";"2016";"Esto es posible luego de que el Gobierno peruano y la Unión Europea suscribieran ayer el convenio que exonera a los ciudadanos de nuestro país de presentar este documento.";"2016-03-15";"correo";"Desde hoy, las puertas de 30 países del Viejo Continente están abiertas para los peruanos sin necesidad de tramitar la visa Schengen. Esto es posible luego de que el Gobierno peruano y la Unión Europea suscribieran ayer el convenio que exonera a los ciudadanos de nuestro país de presentar este documento. La firma de este importante acuerdo se realizó en la sede del Parlamento Europeo, en Bruselas (Bélgica), con la presencia del presidente Ollanta Humala, la ministra de Relaciones Exteriores, Ana María Sánchez, y altos funcionarios de la Unión Europea.";"ART_000163";"premise";"argumentative";"premise";"argumentative";"premise";"argumentative";"premise";"argumentative";"premise";"auto"
"0";"0";"non-argumentative";"El impacto del crecimiento económico se pierde en los caminos que llevan a la ruralidad";"Maril Martens. Ex Ministra.";"2017";"Maril Martens.";"2017-10-18";"correo";"Maril Martens. Ex Ministra.";"ART_000198";"none";"non-argumentative";"none";"non-argumentative";"none";"non-argumentative";"none";"non-argumentative";"none";"auto"
"0";"0";"argumentative";"Remarcó que estos ambulantes, en su mayoría agresivos y de mal vivir, representan un riesgo para la seguridad del emporio.";"Según Nazario, la simbiosis edil solo se da en el ámbito de los negocios formales, pero en la calle no pasa nada. Remarcó que estos ambulantes, en su mayoría agresivos y de mal vivir, representan un riesgo para la seguridad del emporio. Para cualquier tipo de siniestro, ya sea terremotos o incendios, se necesitan vías de escape. Podemos tenerlas señalizadas, pero si se encuentran copadas por el comercio ambulatorio, ¿cómo nos retiramos de la zona? Es una trampa, refirió Nazario.";"2019";"Según Nazario, la simbiosis edil solo se da en el ámbito de los negocios formales, pero en la calle no pasa nada.";"2019-05-13";"correo";"Según Nazario, la simbiosis edil solo se da en el ámbito de los negocios formales, pero en la calle no pasa nada. Remarcó que estos ambulantes, en su mayoría agresivos y de mal vivir, representan un riesgo para la seguridad del emporio. Para cualquier tipo de siniestro, ya sea terremotos o incendios, se necesitan vías de escape. Podemos tenerlas señalizadas, pero si se encuentran copadas por el comercio ambulatorio, ¿cómo nos retiramos de la zona? Es una trampa, refirió Nazario.";"ART_000246";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"auto"
"0";"1";"argumentative";"Remarcó que estos ambulantes, en su mayoría agresivos y de mal vivir, representan un riesgo para la seguridad del emporio.";"Según Nazario, la simbiosis edil solo se da en el ámbito de los negocios formales, pero en la calle no pasa nada. Remarcó que estos ambulantes, en su mayoría agresivos y de mal vivir, representan un riesgo para la seguridad del emporio. Para cualquier tipo de siniestro, ya sea terremotos o incendios, se necesitan vías de escape. Podemos tenerlas señalizadas, pero si se encuentran copadas por el comercio ambulatorio, ¿cómo nos retiramos de la zona? Es una trampa, refirió Nazario.";"2019";"Remarcó que estos ambulantes, en su mayoría agresivos y de mal vivir, representan un riesgo para la seguridad del emporio.";"2019-05-13";"correo";"Según Nazario, la simbiosis edil solo se da en el ámbito de los negocios formales, pero en la calle no pasa nada. Remarcó que estos ambulantes, en su mayoría agresivos y de mal vivir, representan un riesgo para la seguridad del emporio. Para cualquier tipo de siniestro, ya sea terremotos o incendios, se necesitan vías de escape. Podemos tenerlas señalizadas, pero si se encuentran copadas por el comercio ambulatorio, ¿cómo nos retiramos de la zona? Es una trampa, refirió Nazario.";"ART_000246";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"argumentative";"claim";"auto"
