"model_1";"model_2";"label";"cohen_kappa"
"test_set_mistral_annotated";"test_set_llama_annotated";"label_binary";"0.3366"
"test_set_mistral_annotated";"test_set_deepseek_annotated";"label_binary";"0.3519"
"test_set_mistral_annotated";"test_set_magistral_annotated";"label_binary";"0.4291"
"test_set_llama_annotated";"test_set_deepseek_annotated";"label_binary";"0.2052"
"test_set_llama_annotated";"test_set_magistral_annotated";"label_binary";"0.2993"
"test_set_deepseek_annotated";"test_set_magistral_annotated";"label_binary";"0.1692"
"test_set_mistral_annotated";"test_set_llama_annotated";"label_component";"0.287"
"test_set_mistral_annotated";"test_set_deepseek_annotated";"label_component";"0.3413"
"test_set_mistral_annotated";"test_set_magistral_annotated";"label_component";"0.3166"
"test_set_llama_annotated";"test_set_deepseek_annotated";"label_component";"0.2134"
"test_set_llama_annotated";"test_set_magistral_annotated";"label_component";"0.1459"
"test_set_deepseek_annotated";"test_set_magistral_annotated";"label_component";"0.1258"
