"sentence_text";"label_binary";"label_component"
"el gobierno debe crear un control estricto de inmigración en las zonas fronterizas con colombia";"argumentative";"claim"
"por q después del 20-8querrán venir en masa";"argumentative";"premise"
"a ver quién paga la factura y cómo se reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades";"argumentative";"premise"
"(y que los votantes no de lo hagan paga r dentro de un año)";"argumentative";"claim"
"no sé dónde vives pero la delincuencia que he visto yo cuando he ido de vacaciones a madrid y a barcelona es absoluta";"argumentative";"premise"
"vale y estos señores al no tener papeles se ven totalmente internet de lo que les pueda pasar sin miedo total a la ley";"argumentative";"claim"
"como son españoles nada";"argumentative";"claim"
"sin fueran refugiados gloria";"argumentative";"premise"
"""jorge vestrynge: """"aquí no vienen cabreros sino gente emprendedora valiente y con formación profesional como mínimo""";"argumentative";"premise"
"que corra el vino que vinen ingenieros por la valla de ceuta emoji face with tears of joy emoji emoji face with tears of joy emoji emoji face with tears of joy emoji";"argumentative";"claim"
"vendieron una servicentro shell y echaron a todos los chilenos porque el nuevo dueño solo contrata inmigrantes tenemos mas del 7 % de desempleo y solo quieren inmigrantes";"argumentative";"premise"
"apoyas a los inmigrantes hasta que te quitan el empleo la polola la casa o la vida defiende a tu gente";"argumentative";"claim"
"la inmigraciòn de africa y países árebes es una estrategia para entrar a europa y atacarla desde dentro como hace mil años hicieron los barbaros para destruir el imperio romano el islan ataca una europa lacsa en leyes y desunida";"argumentative";"premise"
"marina lepen tiene razón nada d inmigrantes";"argumentative";"claim"
"pregunta : en cuánto incide el desempleo en sectores más básicos de la economía por la presencia de inmigrantes ?";"argumentative";"claim"
"si no puedo hacer esa pregunta estamos jodidos";"argumentative";"premise"
"alcaldesa los extranjeros que estan vendiendo en las calles los fiscalizan si estan legal en el país por que no los deportan si estan indocumentados";"argumentative";"claim"
"muy bien su trabajo las calles de providencia parecian interminables ferias";"argumentative";"premise"
"acá me ven y ya me hablan español";"argumentative";"premise"
"más sudaca no conseguís";"argumentative";"claim"
"que patético vergonzosa la historia de chile";"argumentative";"claim"
"un país del tercer mundo sometido a usa que puso a somoza trujillo y muchos otros patéticos dictadores sudacas";"argumentative";"premise"
"a pedirle papeles a todas las personas en la calle y pedir visa a todos el que quiera venir y deportar ilegales";"argumentative";"claim"
"si no tenemos control en los aeropuertos y puertos y frontera estamos jodidos invasión silenciosa vivir con tu enemigo sin contar con los apátridas";"argumentative";"premise"
"estamos en guerra";"argumentative";"claim"
"otras voces: ¿una sudaca y un discapacitado juntos?";"argumentative";"premise"
"por los papeles o por la pasta";"argumentative";"claim"
"como cuando juegas billar con un arabe musulman";"argumentative";"claim"
"falla un tiro y normal se enfada es como ""todos abajo puede traer una bomba """;"argumentative";"premise"
"y mejor lo dejas ganar";"argumentative";"claim"
"¿y de donde sacan para irse de vacaciones?";"argumentative";"premise"
"de verdad que esto ya pasa de castaño oscuro";"argumentative";"claim"
"¿refugiados y vuelven al lugar donde les maltrataban?";"argumentative";"premise"
"¿a qué están esperando para regularizar a la mafia de manteros ilegales y con muy mala leche ?";"argumentative";"claim"
"se creen que tienen todos los derechos del mundo hasta dónde sé en ningún país desarrollado te permiten estar viviendo ilegales y sin papeles y ni pensar lo de la sanidad";"argumentative";"premise"
"80 000 menores han entrado en españa solos desde marruecos luego llegará la reunificación familiar padres hermanos primos abuelos etc";"argumentative";"premise"
"¿para que los envía marruecos ? ¿alguien pide explicaciones a las autoridades marroquís? ¿son inmigrantes o enviados para invadir españa ?";"argumentative";"claim"
"los que asaltaron la valla de ceuta con lanza-llamas y con cal viva";"argumentative";"premise"
"¿ también son victimas";"argumentative";"claim"
"inmigracion ilegal deportacion ¡yaa";"argumentative";"claim"
"y entre otras cosas menos riesgo de terroristas infiltrados ¿no? - un mando único policial para combatir inmigración ilegal";"argumentative";"premise"
"sea insulto o no";"argumentative";"claim"
"los """"malditos sudacas"""" son los que tienen en pie a las ligas del fútbol español y europeo";"argumentative";"premise"
"pues la india de gandhi ese país tan espiritual son razas dominadas como los árabes dominados por un libro";"argumentative";"claim"
"tendencia a retroceder ante lo nuevo desprecio por la mujer por lo inferior según el criterio de estas simple minds los animales las mujeres las niñas los pobres";"argumentative";"premise"
"como siempre nuestras autoridades a última hora se dan cuenta d todos los problemas q generan los inmigrantes venezolanos sin haber cumplido los requisitos para este fin";"argumentative";"premise"
"una vez más se demuestra q son improvisadores y no previsores en conclusión terminan siendo informal todo";"argumentative";"claim"
"nos hicimos una pregunta el hashtag 17a de 2017 en hashtag barcelona otros muchos se la hicieron";"argumentative";"claim"
"¿con el mogollón de negros subsaharianos manteros que hay siempre en la rambla cómo es que ninguno fue arrasado por la furgoneta de younes abouyaaqoub? ninguno entre los 15 muertos en ramblas";"argumentative";"premise"
"ni arabes xq como payasos ponen su cara en mi familua y chinos xq ponen a un loco y un cinico assesino como mi mirada";"argumentative";"premise"
"recuerde senor presidente el xq ni arabes ni chinos";"argumentative";"claim"
"algo se pudre en el perú";"argumentative";"claim"
"es el caos organizado surrealista subsahariano nuestra realidad";"argumentative";"premise"
"refugiados si inmigrantes los necesarios y los que realmente podamos atender";"argumentative";"claim"
"pienso que españa sólo debería acoger y de una forma ordenada a inmigrantes latinoamericanos de habla española cristianos que";"argumentative";"premise"
"y en toda europa se estan matando y violando a millones y millones de blancos";"argumentative";"premise"
"pero eso ni lo mencionas tampoco mencionas que esos negros y arabes causan problemas";"argumentative";"claim"
"españa está siendo invadida por los subsaharianos";"argumentative";"premise"
"y aquí don tonto jugando al corro la patata desde la moncloa hashtag caminodevenezuela hashtag señorllevamépronto";"argumentative";"claim"
"con estas emigraciones hacia europa";"argumentative";"premise"
"un día los alemanes españoles no será de alemania y los árabes impondrán sus religiones y su cultura y los africanos harán lo mismo";"argumentative";"claim"
"me encanta contra el maltrato animal";"argumentative";"premise"
"pero a los inmigrantes subsaharianos que los acoja en su casa los perroflautas y @user";"argumentative";"claim"
"el que viene en yate de lujo no viene a pedir si acaso a negociar el que viene en patera no viene a dar viene a consumir los recursos sociales de los españoles";"argumentative";"premise"
"si cada uno de los 4 000 000 de populistas que los quiere se llevara un sólo inmigrante a su casa asunto resuelto";"argumentative";"claim"
"africanos saltan la valla de ceuta armados y hieren a 22 guardias civiles -manteros que no pagan impuestos y arruinan a los comercios toman el control de barcelona su alcaldesa lo permiten -turista defiende a una mujer los manteros le pegan una paliza";"argumentative";"premise"
"el feminismo calla";"argumentative";"claim"
"leo que es muy complicado expulsar a los inmigrantes ilegales porque es imposible conocer su procedencia";"argumentative";"premise"
"sin embargo todos tienen teléfonos móviles ¿tan difícil es averiguar a qué países hacen sus llamadas?";"argumentative";"claim"
"estos son lo pobrecitos refugiados de carmena ada colau y pedro sánchez";"argumentative";"claim"
"a ver que dicen cuando empiecen a matar y violar como ya han hecho a las mujeres de aquí";"argumentative";"premise"
"jerusalem le pertenece a los hebreos y no a los llamados palestinos";"argumentative";"claim"
"los palestinos nunca existieron en la historia los llamados palestinos son arabes musulmanes modernos ellos andan diciendo que son cananeos";"argumentative";"premise"
"""la """"marcha negra"""" acelera el paso: más de 40 000 subsaharianos esperan en marruecos para entrar ilegalmente en españa";"argumentative";"premise"
"okupa monclovita ¿ya tienes pensado donde cobijar a toda esta gente ?prepara barracas en moncloa creo que hay terreno """;"argumentative";"claim"
"los manteros subsaharianos desbocados las mafias se lian en torrevieja a sillazos contra la policia";"argumentative";"premise"
"eleccionesgeneralesya";"argumentative";"claim"
"en vez de derrochar el dinero en los inmigrantes indocumentados";"argumentative";"premise"
"preocúpese mejor de nuestro ancianos";"argumentative";"claim"
"todo aquel que quiere ver en esta invasion por el sur un problema migratorio se equivoca";"argumentative";"claim"
"en los que han asaltado la valla de ceuta solo veo hombres muy jóvenes fuertes valientes y desvergonzados dispuestos a poner a españa contra las cuerdas";"argumentative";"premise"
"pregunta seria: los pro vida se quejan de que en casi toda europa estados unidos canadá y una gran parte de asia son asesinos y deberían cerrar las piernas";"argumentative";"premise"
"o solo nosotras no podemos tener derechos por sudacas?";"argumentative";"claim"
"el pueblo exige mas atencion en cuanto al sistema alimentario y contra la especulacion de precios impuesto por los chinos turcos arabes y colombianos";"argumentative";"premise"
"defendamos lo nuestro hagamos patria @user";"argumentative";"claim"
"no se porque no existe un control fronterizo con colombia";"argumentative";"claim"
"radical transeúntes y autos transporte de todo tipo ademas todo colombia no indocumentado deportado";"argumentative";"premise"
"basta carajo";"argumentative";"claim"
"los reseponsables del ingreso al pais de tantos inmigrantes deben hacerse cargo del los problema s de salud de ellos";"argumentative";"claim"
"porque actualmente han venido a aumentar el grave problema de atencion medica de chilenos ocupando las pocas horas de atencion y recursos";"argumentative";"premise"
"los subsaharianos conocedores de que nuestro sistema de pensiones está en riesgo se organizan para asaltar nuestra frontera y hacerse cargo de nuestras jubilaciones";"argumentative";"premise"
"no temáis sólo vienen con el ánimo de hacer viables nuestros servicios sociales";"argumentative";"claim"
"por las mujeres tienen cuatro neuronas ???";"argumentative";"claim"
"una para cada fogon";"argumentative";"premise"
"las aceras son para el tránsito de personas";"argumentative";"premise"
"no para que gente sin papeles venda falsificaciones de manera ilegal bajo el paraguas del ayuntamiento";"argumentative";"claim"
"obviamente @user no iba a desvelar la nacionalidad de los";"argumentative";"claim"
"3 moro mierdas que han abusado en tudela de una niña";"argumentative";"premise"
"¿por que las mujeres se casan de blanco?";"argumentative";"claim"
"para hacer juego con el refrigerador la cocina y la lavadora hashtag humor";"argumentative";"premise"
"la inmigración también es un determinante de salud";"argumentative";"claim"
"el real decreto de 2012 esgrimía justificaciones como el turismo sexual: los inmigrantes no vienen por turismo sexual de hecho los que vienen son los más sanos fuertes jóvenes";"argumentative";"premise"
"cultura árabe = cultura machista";"argumentative";"claim"
"te lo digo xq me ha pasado lo mismo @user @user descendencia árabe siguen inculcando el machismo";"argumentative";"premise"
"los inmigrantes en hostales a pensión completa";"argumentative";"premise"
"y los españoles durmiendo en el coche";"argumentative";"claim"
"su tierra tiene un 60 % aprx de árabes argentinos y demás emigrantes mas los españoles que estamos a la par con ellos que rondamos el 20 %";"argumentative";"premise"
"la raza blanca en extinción y los payasos de cotillón ya mismo veréis a vuestros hijos haciendo el rama dan catalán";"argumentative";"claim"
"si yo mandara en españa aqui no entraba ni cristo sin papeles";"argumentative";"premise"
"que se valla a su pais";"argumentative";"claim"
"sin la reconquista no habría españa sino al ándalus de lengua árabe religión musulmana poligamia mujeres con burka enorme analfabetismo sharia";"argumentative";"premise"
"los efectos de la reconquista son plenamente actuales ¿entienden por qué es indispensable conocerla?";"argumentative";"claim"
"de hoy en adelante si una mujer te envía una foto desnuda hay que denunciarla por acoso sexual y provocación";"argumentative";"premise"
"femi nazis al ataque en 3-2-1";"argumentative";"claim"
"campaña para que ley rapa nui se extienda a todo el país";"argumentative";"claim"
"y así frenar la inmigración";"argumentative";"premise"
"hashtag sabiasque el cerebro de la mujer esta conectado al culo ?";"argumentative";"claim"
"porque cada vez que piensan la cagan";"argumentative";"premise"
"¿por qué las modelos tienen una neurona más que los caballos?";"argumentative";"claim"
