"sentence_text";"label_binary";"label_component"
"así q al momento de desarrollar un sistema debemos aplicar procesos y técnicas q nos estimen muy bien los tamaños y tiempos , sin perder calidad de nuestro producto y es aquí donde se aplican las técnicas de los procesos llamados PSP Personal Software Process y TSP Team Software Process .";"non-argumentative";"none"
"El desarrollo de sistemas es una tarea q exige mucha calidad y competencia en el mercado ,";"argumentative";"claim"
"ya q un buen producto será reconocido y apreciado en cualquier lugar ,";"argumentative";"premise"
"otro punto importante a considerar es el cumplimiento de tiempos respecto a la entrega del sistema";"argumentative";"claim"
"ya que esto afecta a la reputación del sistema y del equipo de desarrollo ,";"argumentative";"premise"
"estos dos procesos son muy útiles";"argumentative";"claim"
"ya que el PSP nos muestra a nosotros mismos nuestra forma de desarrollar un sistema , y la forma en que podemos mejorarlo ,";"argumentative";"premise"
"y el TSP nos muestra a todo un equipo la forma en que nos vamos desempeñando ,";"argumentative";"premise"
"estos procesos se basan en nuestros datos históricos de tareas desarrolladas anteriormente y de ahí toma futuras estimaciones ,";"argumentative";"premise"
"entre más datos tengamos en nuestro historial mejor será la próxima estimación .";"argumentative";"claim"
"se debe tener una educación de siempre aplicar en forma estas técnicas , que al final resultan muy eficientes para el desarrollo de nuestro sistema";"non-argumentative";"none"
"La información que proporcionan estos procesos es muy valiosa";"argumentative";"claim"
"ya que de aquí podemos hacer muchas estimaciones muy cercanas a nuestra realidad y que nos ayudan a terminar el sistema en tiempo y forma con una muy buena calidad .";"argumentative";"premise"
"Al principio son molestos el llenado de formas ,";"argumentative";"premise"
"pero ya adentrándonos al proceso nos damos cuenta q son muy valiosas por q nos muestran en que puntos podemos mejorar y desempeñar mejor nuestro trabajo ,";"argumentative";"premise"
"El problema es que el alumno no conoce de manera cabal esta herramienta del conocimiento . No es utilizada por nuestra sociedad como un medio más para incrementar el capital cultural a través de la educación .";"non-argumentative";"none"
"En los centros de educación superior , es sin duda amplio el esfuerzo que se realiza para dotar de infraestructura informática a las instituciones ,";"argumentative";"premise"
"sin embargo , esto no es suficiente para que los alumnos aprovechen de manera total la potencialidad de esta tecnología .";"argumentative";"premise"
"Se da por hecho que la cibernética y la Internet por si solas tienen la capacidad de hacer que el alumno aprenda .";"argumentative";"premise"
"En nuestro país y en muchos otros , la Internet no es utilizada para generar nuevos conocimientos";"argumentative";"premise"
"y solo se utiliza como medio de información .";"argumentative";"premise"
