"sentence_text";"label_binary";"label_component"
"elecciones2021 conceden apelación al apra ante jne tras desestimarse inscripción de candidatos al congreso";"argumentative";"unknown"
"elecciones2021 onpe amplia hasta este domingo 3 de enero plazo para elegir local de votación";"argumentative";"unknown"
"elecciones2021 daniel urresti admiten a trámite tacha contra candidato presidencial por difamación agravada";"argumentative";"unknown"
"los ciudadanos pueden elegir su local votación en una zona distinta a la dirección que figura en su dni siempre que sea dentro de la región donde le corresponde votar señaló corvetto a agenciaandina etlv elecciones2021 votaseguro";"argumentative";"unknown"
"la onpe comienza capacitación virtual para los 94 jefes de las oficinas descentralizada de procesos electorales quienes están encargados de organizar y ejecutar las elecciones2021 tlv eegg2021 votaseguro seguridadyconfianzan";"argumentative";"unknown"
"elecciones2021 el jee declara inadmisible fórmula presidencial del ppc y tiene dos días para subsanar observaciones";"argumentative";"unknown"
"elecciones2021 jee declara inadmisible la plancha presidencial de app por no contar con información completa";"argumentative";"unknown"
"el padrón establece que están habilitados para sufragar en las elecciones2021 un total de 25 millones 287954 peruanos de los cuales 997033 residen en el extranjero y 24 millones 290921 declararon vivir en el territorio nacional";"argumentative";"unknown"
"chimbote elecciones2021 desde defensoriaperu pedimos a autoridades de los municipios del santa pallasca y casma aprobar ordenanzas que regulen la colocación retiro y difusión de propaganda electoral en la vía pública";"argumentative";"unknown"
"elecciones2021 partido contigo presenta recurso de queja al jne para seguir en carrera";"argumentative";"unknown"
"para las elecciones2021 la onpe oficial pone a disposición de los electores una plataforma para elegir el local de votación más cercano a tu domicilio ingresa aquí";"argumentative";"unknown"
"elecciones2021 22 fórmulas de candidatos a la presidencia y vicepresidencia de la república solicitaron su inscripción con el fin de participar en los próximos comicios 2021";"argumentative";"unknown"
"peru en el 2021 tras caer cerca de 12% este año el pbi tendra un rebote de 9% en el 2021 el panorama externo podra elevar esa cifra pero ello está condicionado al resultado electoral y al avance en el frente sanitario pbi del peru economía peruana elecciones2021";"argumentative";"unknown"
"elecciones2021 keiko fujimori solicita inscripción a la cabeza de fuerza popular para participar en las elecciones presidenciales del 11 de abril";"argumentative";"unknown"
"tacna desde defensoria peru demandamos a las autoridades regionales respetar el deber de neutralidad electoral funcionarios y servidores públicos están en la obligación de cumplir normas electorales en el marco de las eleccionesgenerales2021";"argumentative";"unknown"
"elecciones2021 estas son las disposiciones para garantizar neutralidad";"argumentative";"unknown"
"exitosa jne informa que ha habilitado el sistema web para facilitar la inscripción de candidatos a las elecciones2021";"argumentative";"unknown"
"alan kessel del río de acción popular convoca a un plenario nacional para abordar el tema de las elecciones2021";"argumentative";"unknown"
"jurado nacional de elecciones habilita plataforma declara para facilitar inscripción de candidatos en las elecciones2021";"argumentative";"unknown"
"el jne instaló el sistema web declara que facilita a los partidos políticos habilitados ante el registro de organizaciones políticas rop la inscripción de sus candidatos a las elecciones2021";"argumentative";"unknown"
"hoy vence el plazo para que los canales de televisión y radios formales así como las redes sociales se registren ante la onpe como postores y puedan participar en la emisión de la franja electoral elecciones2021 eegg2021";"argumentative";"unknown"
"731 mil 528 personas ya eligieron sus 3 opciones de local para votar en las eegg2021 y tú que esperas ingresa a";"argumentative";"unknown"
"elecciones2021 en etapa electoral las personas que trabajan en el estado están prohibidas de utilizar sus recursos para hacer propaganda por un candidato y tampoco pueden utilizar recursos públicos para este fin conoce más dale play";"argumentative";"unknown"
"en vivo el jefe de la onpe se reúne con autoridades regionales provinciales y distritales de junín para informar acciones con miras a las elecciones2021 eegg2021 vota seguro seguridad y confianza elecciones del bicentenario";"argumentative";"unknown"
"en vivo el jefe de la onpe pcorvetto inicia reunión con miembros del ejercitoperu y policiaperu de la región junín para informar acciones con miras a las elecciones2021 vota seguro eegg2021 seguridad y confianza elecciones del bicentenario";"argumentative";"unknown"
"los partidos políticos tienen hasta el 22 de diciembre para presentar sus solicitudes de inscripción de fórmulas y listas de candidatos con miras a las elecciones2021";"argumentative";"unknown"
"corvetto agradece a autoridades por apoyo en implementación de plataforma elige tu local de votación gracias a ustedes ciudadanos podrán votar cerca a casa y vamos a cuidar salud de todos señal etlv vota seguro elecciones2021 eegg2021 elecciones del bicentenario";"argumentative";"unknown"
"ya está disponible plataforma para elegir local de votación para las elecciones2021 onpe emitirá resultados de las elecciones internas esto y mucho más en onpe tvnetlv vota seguro eegg2021 elecciones del bicentenario seguridad y confianza";"argumentative";"unknown"
"ya está disponible la opción para elegir tu local de votación para las elecciones2021 ingresa a";"argumentative";"unknown"
"el jefe de la onpe se reunió con la misión de avanzada de la uniore para informar los avances en la organización de las elecciones2021 eegg2021 seguridad y confianza";"argumentative";"unknown"
"elecciones2021 la onpeoficial informó que concluyó de manera exitosa el cómputo de los resultados de las elecciones internas de los partidos que competieron en los comicios generales 2021";"argumentative";"unknown"
"medios tienen plazo hasta el 16 de diciembre para inscribirse como postores y poder emitir la franja electoral con motivo de las elecciones2021 eegg2021";"argumentative";"unknown"
"el presidente del jne jorge luis salas arenas se reunió hoy con la misión de asistencia electoral de las naciones unidas en el peru para conocer las necesidades electorales peruanas más apremiantes con miras a las elecciones2021";"argumentative";"unknown"
"como defensoriaperu rechazamos el uso de comentarios sexistas y denigrantes que afectan principalmente a candidatas políticas mujeres estas prácticas deben ser erradicadas en el proceso de elecciones2021 urge contar con una ley contra el acoso político";"argumentative";"unknown"
"envivo el jefe de la onpe inicia reunión con miembros de las fuerzas armadas de la región tacna para informar acciones con miras a las elecciones2021 votaseguro eegg2021 seguridadyconfianza eleccionesdelbicentenario";"argumentative";"unknown"
"hoy en andina canal online peru debate 2021 es un proyecto que busca fortalecer la capacidad de los partidos políticos con miras a las elecciones2021 sigue la entrevista a percy medina jefe de misión de ideaintperu desde las 9 am";"argumentative";"unknown"
"mañana en andina canal online peru debate 2021 es un proyecto que busca fortalecer la capacidad de los partidos políticos con miras a las elecciones2021";"argumentative";"unknown"
"chimbote elecciones2021 desde defensoria peru demandamos a autoridades del municipio de nuevo chimbote cumplir con el deber de neutralidad electoral advertimos publicaciones en el facebook oficial de la entidad con publicidad estatal";"argumentative";"unknown"
"video panorama elecciones2021 hernando de soto oficializa su candidatura a la presidencia del peru";"argumentative";"unknown"
