"sentence_text";"label_binary";"label_component"
"Es poco probable que, antes de que las Olimpiadas se convirtieran en competiciones deportivas profesionales, los amateuristas participaban en ellos.";"argumentative";"claim"
"El COI demanda los mismos estrictos requisitos relacionados con la soberanía política, igual que otras organizaciones internacionales.";"argumentative";"claim"
"Más de quince repúblicas formaban la URSS, un Estado federal que duró casi setenta años.";"argumentative";"claim"
"El proyecto del descubridor fue comúnmente aprobado.";"argumentative";"claim"
"El cubismo no se concibió hasta 1908.";"argumentative";"claim"
"Debido a la carencia de votos, miembros de la CECA no lograron establecer la Comunidad Europea de Defensa (CED).";"argumentative";"claim"
"Antes de 2010 los teléfonos inteligentes y las tabletas ya se utilizaban como plataformas de videojuegos.";"argumentative";"claim"
"El zar fundó el partido de los bolcheviques. ";"argumentative";"claim"
"Los aletas de entre 14 y 18 compiten anualmente en unos Juegos Mini";"argumentative";"claim"
"Herneando Colón nunca utilizó ninguna embarcación por miedo al kraken.";"argumentative";"claim"
"La civilización europea se extendió por el planeta antes de atravesarse el océano Atlántico.";"argumentative";"claim"
"Moscú quería defender sus fronteras occidentales usando zonas que no pertenecían a la Unión Soviética, como la parte oriental de Europa.";"argumentative";"claim"
"El pintor estaba en el Consejo Mundial de la Paz cuando pintó La paloma de la paz.";"argumentative";"claim"
"Todas las organizaciones deportivas se trasladaron desde los Estados Unidos en 2001, con la entrada en vigor de la ley europea antideportiva.";"argumentative";"claim"
"Las vistas de Cataluña no coincidían con las ideas del pintor malagueño.";"argumentative";"claim"
"No está claro que organizar JJOO sea positivo económicamente.";"argumentative";"claim"
"Picasso se llamaba Pablo.";"argumentative";"claim"
"Cristóbal Colón es considerado un enigma sobre el que no existe unanimidad entre historiedades e investigadores debido a que algunos teorías secundarias lo afirman, al haber teorías secundarias, tendían que existir también las primarias.";"argumentative";"claim"
"Los gastos adicionales de los Juegos Olímpicos no han ascendido en los últimos años.";"argumentative";"claim"
"El descubridor no tuvo hijos.";"argumentative";"claim"
"Gee ignora la teoría de aprendizaje dentro del ámbito de videojuegos.";"argumentative";"claim"
"Un tipo de juego multijugador és el enfrentamiento";"argumentative";"claim"
"Cristóbal Colón no tuvo descendencia.";"argumentative";"claim"
"El Nuevo Tratado de la Unión contemplaba la unificación de la Unión Soviética.";"argumentative";"claim"
"El pintor y su modelo no fue un tema de su trabajo.";"argumentative";"claim"
"El poder no reside totalmente en los estados miembros de la UE, puesto que ceden una parte a las instituciones.";"argumentative";"claim"
"Los juegos solo se pueden encontrar en espacios públicos y no pueden ser comprados ya que vivimos en un estado comunista";"argumentative";"claim"
"Los frailes se quedaron impasibles ante el famoso navegante genovés y no le presentaron a fray Hernando de Talavera.";"argumentative";"claim"
"Colón no logró arribar a las costas de América y tuvo que regresar a Europa sin pisar suelo  americano. ";"argumentative";"claim"
"Hay diferentes propuestas acerca de la fecha en que se empezaron a celebrar los JJOO antiguos.";"argumentative";"claim"
"Colón nunca llegó a las costas de América";"argumentative";"claim"
"La India era el nombre que recibió el último buque construido en las Nuevas Tierras.";"argumentative";"claim"
"China tiene experiencia de albergar unos Juegos Olímpicos.";"argumentative";"claim"
"Los Juegos Olimpicos se celebran cada 4 años.";"argumentative";"claim"
"Colón no fracasó ante Juan II, que era el rey de Portugal de la época, de modo que probó suerte también en Castilla.";"argumentative";"claim"
"Cristóbal Colón tuvo que sufragar parte del viaje a las Américas, ya que Isabel y Fernando no cedieron mucho dinero para el proyecto.";"argumentative";"claim"
"Los videojuegos se usan junto un controlador y un dispositivo que enseña imágenes estáticas, como fotos.";"argumentative";"claim"
"El Soviet Supremo representó el poder ejecutivo del Gobierno, a su vez, el Consejo de Ministros representó el órgano legislativo.";"argumentative";"claim"
"Las compañías no se ocupan de la evaluación de las posibilidades del juego.";"argumentative";"claim"
"Picasso presentó solo un bocete. ";"argumentative";"claim"
"En Suecia, la tasa de natalidad está bajando mucho más que en los otros países de la Unión.";"argumentative";"claim"
"Bielorrusia, Ucrania y Transcaucasia formaban parte de la Unión de las Repúblicas Socialistas Soviéticas de Rusia.";"argumentative";"claim"
"65 países respaldaron la política externa de la URSS.";"argumentative";"claim"
"Los estilos de dos retratos de Pablo no son semilares.";"argumentative";"claim"
"Es indudable que el año 2008 fue difícil para el pueblo chino.";"argumentative";"claim"
"Colón no se casó pero tuvo un hijo.";"argumentative";"claim"
"Se rehusa que los reglamentos tengan más poder jurídico que el Derecho nacional de los estados miembros.";"argumentative";"claim"
"Picasso siempre fue considerado como un pintor que ejercio gran influencia en otros artistas.";"argumentative";"claim"
"Las directivas comunitarias no afectan a los ciudadanos del Estado miembro a menos que este haga una transposición para que así sea.";"argumentative";"claim"
"Los partidos del parlamento Europeo ni se asocian en grupos ni son dirigidos por el presidente Antonio Tajani.";"argumentative";"claim"
"La Unión Europea se ha desarrollado hasta ser la actual Comunidad Europea del Carbón y del Acero.";"argumentative";"claim"
"La Unión Soviética ya había rechazado dos constituciones antes del otoño de 1977, cuando se aprobó la tercera.";"argumentative";"claim"
"Falta documentacion del origen i ascendencia de Colón";"argumentative";"claim"
"El reino de Castilla no pasaba por su mejor momento económicamente debido a las recientes batallas contra los musulmanes.";"argumentative";"claim"
"Teodosio II dió fin  a los Juegos Olímpicos.";"argumentative";"claim"
"Los Juegos Olímpicos de Lillehammer se celebraron en el siglo XIX";"argumentative";"claim"
"El pancracio no es un tipo de deporte ecuestre.";"argumentative";"claim"
"El desarrollo de las tecnologías no influyó de ninguna manera en la industria de videojuegos.";"argumentative";"claim"
"Al afiliarse a la UE, cada estado miembro debe cambiar la forma de gobierno actual a la republicana.";"argumentative";"claim"
"DEV no agrupa a todas las compañías desarrolladoras de España.";"argumentative";"claim"
"Aunque muchos lo han intentado, ningún deportista negro ha ganado una medalla en los Juegos Olímpicos.";"argumentative";"claim"
"Los sóviets locales y los comités ejecutivos no eran un tipo de organismo de las autoridades locales.";"argumentative";"claim"
"La relación del pintor con Olga no siempre fue buena, como se puede ver en algunas de sus obras, por ejemplo, en Mujer con estilete (Muerte de Marat).";"argumentative";"claim"
"Las estimaciones globales de audiencias estimulan una bajada de millones de personas, un ejemplo de ello, es en Barcelona 1992.";"argumentative";"claim"
"El cuadro picassiano de Las Tres Mujeres fue comprado por los hermanos Stein.";"argumentative";"claim"
"La reforma pretendía mantener todo el territorio de producción unido.";"argumentative";"claim"
"El Deshielo de Jrushchov no tiene nada que ver con un fenómeno meteorológico.";"argumentative";"claim"
"Bueno afirma que Colón era un gobernador cruel y despiadado.";"argumentative";"claim"
"Picasso no está enterrado en España.";"argumentative";"claim"
"Colón estuvo en América y Europa.";"argumentative";"claim"
"Cada vez es más caro organizar unos Juegos Olímpicos. ";"argumentative";"claim"
"Picasso fumó opio a causa de la influencia de Jacob y Apollinaire, quienes lo convencieron en ausencia de Fernande.";"argumentative";"claim"
"Los primeros programas lúdicos se crearon para que pudieran ser utilizados en televisores.";"argumentative";"claim"
"La tía de Fernando II de Aragón, Inés Enríquez, ofreció la ayuda a Colón, que le presentó su proyecto.";"argumentative";"claim"
"La Unión Soviética no descentralizó el poder en acabar la guerra.";"argumentative";"claim"
"El inglés ha dejado de usarse como lengua escrita y se ha limitado su uso a la lectura de documentos.";"argumentative";"claim"
"Las señoritas de Aviñón marcaron el comienzo del período azul.";"argumentative";"claim"
"La retrospectiva de Gauguin no impresionó a Picasso. ";"argumentative";"claim"
"Que los juegos se celebraran en Grecia causó alegría para la población griega.";"argumentative";"claim"
"Picasso no sabe pintar cuadros. ";"argumentative";"claim"
"No hay una relación entre prestaciones técnicas y la incorporación de juegos ";"argumentative";"claim"
"En todos los juegos se enfrentan dos o más seres humanos que compiten entre ellos";"argumentative";"claim"
"Picasso celebró la navidad con Eva en Barcelona.";"argumentative";"claim"
"Los teléfonos móviles pueden ejecutar videojuegos";"argumentative";"claim"
