"sentence_text";"label_binary";"label_component"
"saben el que es esto sí un catálogo";"argumentative";"claim"
"un catálogo de mujeres gestantes que tienen unas determinadas características genéticas para dar este fruto niños";"argumentative";"premise"
"alguien de ustedes cogería estos niños elegiría estas mujeres en un catálogo";"argumentative";"premise"
"no el más probable es que no";"argumentative";"premise"
"primero solo un dos coma siete por ciento de personas que hay en esta sala podría permitírselo";"argumentative";"premise"
"no hace falta que le pagas a nadie ni siquiera costearse los gastos que genera la gestación subrogada";"argumentative";"premise"
"que quiere decir que haya un catálogo";"argumentative";"premise"
"que hay elegidos y gente que elige";"argumentative";"premise"
"por qué eligen estos niños";"argumentative";"premise"
"de verdad quieren crear un marco legal que dé validez jurídica para permitir el desarrollo de esta actividad";"argumentative";"premise"
"entendemos gestación subrogada como manera de acceder a la maternidad a través de la cual se emplea un vientre externo la maternidad será el centro de este debate";"argumentative";"claim"
"el primer argumento la gestación subrogada contrae una profunda incoherencia moral con el que entendemos nosotros que es la maternidad la maternidad es el acto seguramente más extremo de altruismo y generosidad que se puedan imaginar";"argumentative";"claim"
"cuántos de los que estamos esta sala o todavía vivimos con nuestros padres o todavía dependemos económicamente o simplemente nos ayudan en todo momento";"argumentative";"premise"
"el primer argumento la gestación subrogada contrae una profunda incoherencia moral con el que entendemos nosotros que es la maternidad así pues entendemos profundamente incoherente que un capricho de unos padres que quieren tener unos hijos por el simple hecho de compartir genética con estos hijos está totalmente en contraposición con la generosidad que representaría adoptar estos hijos";"argumentative";"claim"
"tenemos un segundo argumento que es un argumento legal por qué legislamos por las élites es profundamente anticonstitucional";"argumentative";"claim"
"y en tercer lugar tenemos un argumento que lo denominamos de supremacismo biológico a partir del momento en que dejamos personas elegir en un catálogo características genéticas estamos yendo al capricho de unas personas que modelan otras genéticamente";"argumentative";"claim"
"gestación subrogada técnica por la cual una mujer acepta dar su consentimiento para quedarse embarazada y posteriormente parir librar este bebé en una familia comitente o a un tercer";"argumentative";"claim"
"esta es la definición es el punto de partida";"argumentative";"premise"
"no obstante de este punto se pueden derivar muchos modelos diferentes";"argumentative";"premise"
"modelos que pueden tener una trascendencia muy importante hacia la mujer gestante hacia el neonato y hacia la familia comitente";"argumentative";"premise"
"sí a la legalización de la gestación subrogada porque es necesaria por la reproducción";"argumentative";"claim"
"sí a la legalización de la gestación subrogada porque es una necesidad humana";"argumentative";"claim"
"sí a la legalización de la gestación subrogada porque las mujeres puedan ser libres";"argumentative";"claim"
"quién somos nosotros para decir a una mujer qué hacer o dejar de hacer con su propio cuerpo";"argumentative";"premise"
"porque aquellas personas que físicamente no puedan tener hijos puedan";"argumentative";"premise"
"sí a la legalización de la gestación subrogada el como";"argumentative";"claim"
"y será evitando toda la problemática actual de los modelos ya existentes";"argumentative";"premise"
"sí a la legalización de la gestación subrogada uno sí a la legalización de la gestación subrogada razonable";"argumentative";"claim"
"uno sí sostenible éticamente";"argumentative";"premise"
"uno sí altruista protector y garante con todas las partes involucradas";"argumentative";"premise"
"quien son estas partes";"argumentative";"premise"
"las familias comitentes familias monoparentales de hombres y parejas gays parejas de lesbianas y heterosexuales o monoparentales de mujeres en las cuales estas no puedan gestar con su propio útero que no quiere decir que sus óvulos no sean viables";"argumentative";"premise"
"paralelamente a la donación de órganos in vivo también hay mujeres que quieren ceder su vientre de manera voluntaria y altruista";"argumentative";"premise"
"y por último los menores gestados a la extranjero";"argumentative";"premise"
"daremos respuesta a que pasa si se saltan nuestro modelo";"argumentative";"premise"
"desincentivamos la gestación a la extranjero";"argumentative";"premise"
"este es nuestro modelo altruista sin retribución que no quiere decir sin compensación económica por la mujer";"argumentative";"claim"
"porque sabemos que el embarazo es un proceso muy difícil";"argumentative";"premise"
"pero es que la mujer tiene que ser libre de elegir qué tiene que hacer con su propio cuerpo";"argumentative";"premise"
"y como dijo la activista estadounidense margaret sanger las mujeres no podemos ser libres sin tener el control sobre nuestro propio cuerpo";"argumentative";"premise"
"este es nuestro modelo altruista sin retribución con nuestro modelo evitaremos que se puedan producir problemáticas aplicando el sistema de la donación de órganos y de la adopción";"argumentative";"claim"
"un modelo público basado en la solidaridad y la voluntariedad anónima";"argumentative";"premise"
"(inaudible)";"non-argumentative";"none"
"nos centraremos en que es una necesidad humana la reproducción";"argumentative";"premise"
"en segundo lugar que es una cuestión de libertados";"argumentative";"premise"
"las familias comitentes se pueden aferrar perfectamente con un principio rector de nuestro ordenamiento jurídico de la constitución española";"argumentative";"premise"
"como es el de que los poderes públicos tienen que asegurar la protección jurídica económica y social de todas las familias que quieran formarlas una familia al treinta y nueve punto de la constitución española";"argumentative";"premise"
"y esto por lo tanto abre la puerta a legalizar la gestación subrogada con la libre elección de las familias";"argumentative";"premise"
"hay que agotar las vías de técnicas de reproducción asistida";"argumentative";"premise"
"estamos de acuerdo que no es una vía para todo el mundo";"argumentative";"premise"
"usted hablaba de los costes que quiere privatizar la sanidad española y está haciendo aquí la contabilidad de la sanidad";"argumentative";"claim"
"tenemos un sistema sanitario público aprovechémoslo";"argumentative";"premise"
"que tenemos unas garantías y unas infraestructuras privilegiadas";"argumentative";"premise"
"usted hablaba de los costes no vayamos a buscar los costes que supone nuestra sanidad";"argumentative";"claim"
"nos basamos en una doctora que ustedes tienen el privilegio de tener la universidad de barcelona eleonora lant";"argumentative";"premise"
"ella dice que detrás la gestación subrogada y el libre desarrollo de la personalidad la capacidad de consentimiento de la mujer quién somos nosotros para decir a una mujer que es el que puede hacer o dejar de hacer con su propio cuerpo";"argumentative";"premise"
"además nos encontramos con una cuestión de solidaridad";"argumentative";"premise"
"solidaridad que se basa en un acto altruista";"argumentative";"premise"
"que esto es el que evita cualquier mercantilización";"argumentative";"premise"
"vuestros argumentos son los que caracterizan nuestro modelo sin vuestras críticas nuestro modelo no sería posible";"argumentative";"claim"
"y como es altruista no atenta por lo tanto a la dignidad de la persona";"argumentative";"premise"
"totalmente";"non-argumentative";"none"
"es usted consciente que no es el mismo fundar una familia que tener descendencia y sobre todo escoger cómo será esta descendencia pero es que ustedes se están oponiendo a que se pueda fundar la familia";"argumentative";"claim"
"que se pueda crear la familia a través de otra vía como es la gestación subrogada";"argumentative";"premise"
"se oponen a la libertado";"argumentative";"premise"
"que haya una vía disponible más para el colectivo lgtbi por el colectivo de gente que no tienen la posibilidad de tener hijos";"argumentative";"premise"
"y en tercer lugar que nos encontramos con una ineficacia de la prohibición idealista en un mundo globalizado por mucho que prohibimos y cerramos los ojos no podemos parar el que regulen los países terceros";"argumentative";"claim"
"porque esto es una cuestión de derecho internacional público";"argumentative";"premise"
"qué podemos hacer nosotras la soberanía nacional de los países terceros";"argumentative";"premise"
"que diría usted a los niños que potencialmente podrían ser adoptados y que están en espera de adopción";"non-argumentative";"none"
"que nuestro modelo se basa en dos puntos esenciales el altruismo que se basa en la donación de órganos y los requisitos de idoneidad que se basa con el sistema de adopción nosotros el que volamos es velar por el interés superior del menor de esta gente que también está esperando que una familia la adopte";"argumentative";"claim"
"que nuestro modelo se basa en dos puntos esenciales el altruismo que se basa en la donación de órganos y los requisitos de idoneidad que se basa con el sistema de adopción porque todos los requisitos están basados en la adopción y el altruismo";"argumentative";"claim"
"al final implica que una mujer gestante gesta el hijo sin recibir dinero a cambio";"argumentative";"premise"
"ningún vientre puede tener un precio por lo tanto mercantilización cabe ni una";"argumentative";"premise"
"y de donde saldrían las mujeres";"argumentative";"premise"
"conocen el que es la donación intervivos";"argumentative";"premise"
"es el hecho que una persona viva y sana da un órgano a una persona desconocida";"argumentative";"premise"
"por lo tanto nosotros tenemos fe y creemos en el altruismo";"argumentative";"premise"
"y que pasaría si se saltan este sistema";"argumentative";"premise"
"pues que pueden estar en contra de la gestación subrogada";"argumentative";"premise"
"pero que no pueden estar en contra es del interés superior del menor";"argumentative";"premise"
"la dirección general del registro del notariado y el tribunal supremo ya lo han dicho bien claro que la gestación subrogada es claramente interés superior del menor";"argumentative";"premise"
"en primer lugar aquí llevo el que es el resumen de una publicación donde hacen un tipo de resumen de todas las muertes de manera mundial que tienen los centros de adopción los nins con una exclusión muy alta acaben suicide";"argumentative";"claim"
"estos nins tienen que tener una segunda oportunidad";"argumentative";"premise"
"en segundo lugar da garantía el hecho que se apruebe aquí a espanya la gestación subrogada hará que este trabajo sea con unas condiciones laborales óptimas naltros basura un trabajo podría hacer un trabajo ocho horas e iba a can nuestra";"argumentative";"claim"
"dar luz significa veinticuatro horas diarias nueve meses de trabajo";"argumentative";"premise"
"esto no tiene precio";"argumentative";"premise"
"esto es una cosa gratuita como especie humana";"argumentative";"premise"
"lo nasciturus que tiene que ser beneficiario de esta rutina humana tiene que tener una felicidad tiene que crecer y sobre todo no tiene que ver que todo sea un precio";"argumentative";"premise"
"si yo voy a can mía ahora porque va mal este debate púas me apoyarán";"argumentative";"premise"
"pero no me apoyarán por cinco euros";"argumentative";"premise"
"es decir tú el que quieres el primer hijo para tener unas arcas del estado también con más dobleros";"non-argumentative";"none"
"el hecho de ser humano implica que los sentimientos no pueden votar es decir tenemos una necesidades biológica que no se tienen que votar";"argumentative";"claim"
"si continuamos el statu quo del equipo contrario podrá suceder que su leyes conservadoras tanto puede ser de la esclavitud tanto puede ser de las dictaduras que hubieran continuado porque íbamos bien";"non-argumentative";"none"
"la compensación que es de resarcimiento pretende proteger a la mujer por todos los gastos asociados o los daños y perjuicios que pueda tener el proceso de embarazo usted está en contra de proteger la mujer";"argumentative";"claim"
"es decir el hecho de aprobar significa que este comercio venderá espanya por lo tanto esta mujer estarán haciendo este trabajo";"argumentative";"claim"
"y este trabajo que es precaria significa que sufrirán más porque están haciendo este trabajo";"argumentative";"premise"
"la esclavitud era una cosa mala dijeron se para hoy y no lo volveremos a hacer";"argumentative";"premise"
"pararemos hoy su gestación subrogada y no se volverá a hacer";"argumentative";"premise"
"porque como he dicho su solución reside al dar segundas oportunidades este nins";"argumentative";"premise"
"porque estos nins tienen el derecho a decirlo porque ya son vivos";"argumentative";"premise"
"lo tenemos que dar una segunda oportunidad de una inserción a la sociedad";"argumentative";"premise"
"no tenemos que dar más problemas en este mundo no tenemos que evitar los problemas que ya existen porque nuestro compañeros están evitando";"argumentative";"claim"
