"sentence_text";"label_binary";"label_component"
"Limpieza de graffitis y remodelación de aluche";"argumentative";"claim"
"Los vecinos de Aluche vemos día tras día como nuestro querido barrio está cada vez más sucio y descuidado.";"argumentative";"claim"
"Graffitis y basura por todas partes, aceras rotas, baches en la carretera, zonas de jardines destrozadas.";"argumentative";"claim"
"No a los ruidos. Reducir el número de decibelios permitido.";"argumentative";"claim"
"Estoy de acuerdo, es deplorable como se encuentra el barrio.";"argumentative";"claim"
"Buenos días a tod@s, la limpieza es una de las partes de una sociedad que tenemos que cuidar tod@s sin excepción, es tan importante como la seguridad de una ciudad o la sanidad para las personas, si tenemos insalubridad en una ciudad corremos mucho riesgo en todos los aspectos, os envío un enlace para que entréis a leerlo si os parece correcto votarlo, los puntos a tratar sobre la limpieza son bastante interesantes, no hace falta hacer inversiones exageradas, es más, todo ello está sobradamente probado y funciona, votar la idea si os parece bien para conseguir el máximo posible de votos para poder reaccionar frente a la limpieza de Madrid.";"argumentative";"claim"
"Apoyo la limpieza";"argumentative";"claim"
"pero los graffitis me gustan, no veo nada antihigiénico en ello.";"argumentative";"premise"
"Efectivamente, no estamos en contra de los graffittis, estamos en contra de las pintadas sin sentido.";"argumentative";"claim"
"Graffitis artísticos sí tienen cabida, el vandalismo no.";"argumentative";"premise"
"Si te gustan que los hagan en tu casa en tu portal y en tu coche.";"argumentative";"claim"
"Pero basta ya de tener Madrid echo una mierda por estos niñatos.";"argumentative";"premise"
"No claro que no,";"argumentative";"claim"
"pero en las paredes que no se usan o se usan para publicidad si.";"argumentative";"premise"
"Más que multas que no podrán pagar les haría realizar servicios comunitarios de limpieza.";"argumentative";"claim"
"A limpiar cacas de perro, chicles y colillas en paradas de autobús y estaciones! Así toman un poquito de conciencia.";"argumentative";"premise"
"Y para los graffitis que son arte restauración de paredes en solares y lugares públicos donde mostrar su habilidad.";"argumentative";"premise"
"Estoy de acuerdo sobre todo en que el barrio necesita mejoras en algunas calles y aceras y el tema de la limpieza y los contenedores.";"argumentative";"claim"
"Lo único que discrepo es en el tema de los graffitis, a mí sí están bien hechos me gustan, es arte urbano.";"argumentative";"premise"
"Algo que creo que beneficiaría ampliamente a la limpieza de la ciudad es el aumento maquinas limpiadoras de aceras de esas que son un pequeño vehículo como los de las maquinas de limpiar coches con cepillos, agua y jabón.";"argumentative";"claim"
"Debería haber en cada distrito toda una legión de ellas funcionando, es la forma de tener la ciudad limpia e higienica,";"argumentative";"claim"
"porque aquí no llueve apenas como puede ser en el norte.";"argumentative";"premise"
"Deberíamos proponer al Ayuntamiento algún tipo de medio de concienciación de los vecinos de cada barrio para que nos sintamos implicados en mantener esas mejoras que exigimos.";"argumentative";"claim"
"Yo por mi parte, lo siento, pero grafittis, ningúno.";"argumentative";"claim"
"A mi no tiene por que gustarme ver mi fachada pintada con algo que no he elegido.";"argumentative";"premise"
"Prefiero ver las calles con fachadas limpias tal y como se concibieron al construirlas.";"argumentative";"claim"
"No solo para Aluche sino para todos los barrios que sufran estos problemas.";"argumentative";"claim"
"Por eso apoyo tu propuesta pero referida también a los barrios del Centro, concretamente el de Malasaña.";"argumentative";"premise"
"Conozco la zona y estoy de acuerdo pero estoy más de acuerdo con poner una tasa para las mascotas, con el pago de la misma entregaría un plano con las zonas reservadas a los perros, un extracto de la normativa cursos, cuidados básicos etc.";"argumentative";"claim"
"Ello implica más responsabilidad para el dueño y aumentaría la formación y conocimiento de la normativa tan desconocida por los actuales dueños y paseadores ya no sería un juguete gratuito como hasta ahora.";"argumentative";"premise"
"Yo pagaría 10€ al mes por esa mascota que cuido y me da cariño sin dudarlo.";"argumentative";"claim"
"Hay que cuidar todos los barrios por igual, así como Aluche, Vallecas está siendo tomado por toxicómanos y camellos.";"argumentative";"claim"
"Habría que diferenciar los graffittis.";"argumentative";"claim"
"Deberían crearse zonas para que puedan realizar gtaffittis y el resto debería multarse por hacerlo.";"argumentative";"claim"
"Estoy de acuerdo con vosotros,";"argumentative";"claim"
