"sentence_text";"label_binary";"label_component"
"El hirsutismo facial es una de las características del síndrome de ovario poliquístico (SOP), y esto puede conducir a altos niveles de depresión y ansiedad.";"argumentative";"claim"
"Evaluar el impacto del tratamiento con láser en la gravedad del hirsutismo facial y en la morbilidad psicológica en mujeres con SOP.";"non-argumentative";"none"
"Se realizó un ensayo controlado aleatorizado de cinco tratamientos de alta influencia (intervención) frente a cinco tratamientos de baja influencia (control) durante 6 meses en un hospital docente del Servicio Nacional de Salud.";"non-argumentative";"none"
"Los sujetos fueron 88 mujeres con hirsutismo facial debido a SOP reclutadas de clínicas ambulatorias de hospitales y un grupo de apoyo a pacientes en 2001-2002.";"non-argumentative";"none"
"Los principales resultados fueron la gravedad autoinformada de vello facial (medido en una escala de 1-10), depresión, ansiedad (medido en la Escala de Ansiedad y Depresión Hospitalaria) y calidad de vida (medido en el WHOQOL-BREF).";"non-argumentative";"none"
"La gravedad autoinformada de la aparición de vello facial en el grupo de intervención (n = 51 ) disminuyó de 7,3 a 3,6 durante el período de estudio de 6 meses "";"" para el grupo de control (n = 37), las puntuaciones correspondientes fueron de 7,1 y 6,1.";"argumentative";"premise"
"El cambio fue significativamente mayor en el grupo de intervención [ ancova F ( (1,83 ) = 24,5, P < 0,05 ].";"argumentative";"premise"
"El tiempo autoinformado dedicado a la depilación disminuyó de 112 a 21 minutos por semana en el grupo de intervención y de 92 a 56 minutos en el grupo de control [ F ( (1,80) ) = 10,2, P < /= 0,05 ].";"argumentative";"premise"
"La media de las puntuaciones de depresión se redujo de 6,7 a 3,6 en el grupo de intervención, en comparación con 6,1 a 5,4 en el grupo de control [ F ( (1,83 ) = 14,7, P < 0,05 ].";"argumentative";"premise"
"Se observó un cambio similar en las puntuaciones medias de ansiedad: intervención de 11,1 a 8,2, control de 9,6 a 9,3 [ F ( (1,84 ) ) = 17,8, P < 0,05 ].";"argumentative";"premise"
"La calidad de vida psicológica también mejoró más en el grupo de intervención, de 49,6 a 61,2 frente a 50,1 a 51,5 en el grupo de control [ F ( (1,84 ) = 10,9, P < 0,05 ].";"argumentative";"premise"
"El tratamiento con láser parecía reducir la gravedad del vello facial y el tiempo dedicado a la depilación, así como aliviar la depresión y la ansiedad en las mujeres con SOP.";"argumentative";"claim"
"Estos hallazgos sugieren que se deberían considerar formas de hacer este método de depilación más accesible a las mujeres con hirsutismo facial.";"argumentative";"claim"
"A pesar de la considerable mejora en el tratamiento del cáncer de ovario avanzado, la optimización de la eficacia y la tolerabilidad sigue siendo un tema importante.";"argumentative";"claim"
"Por lo tanto, realizamos un ensayo aleatorizado de no inferioridad de fase III comparando paclitaxel más cisplatino (PT) con paclitaxel más carboplatino (TC) en pacientes con cáncer de ovario avanzado.";"non-argumentative";"none"
"Un total de 798 pacientes con la Federación Internacional de Ginecología y Obstetricia en estadio IIB-IV fueron asignados al azar para recibir seis ciclos de PT o TC a intervalos de 3 semanas.";"non-argumentative";"none"
"El criterio de valoración primario fue la proporción de pacientes sin progresión a los 2 años.";"non-argumentative";"none"
"Los criterios secundarios incluían la toxicidad, la respuesta al tratamiento, la calidad de vida y el tiempo de supervivencia total y sin progresión.";"non-argumentative";"none"
"La calidad de vida se evaluó utilizando el cuestionario de calidad de vida (QLQ) -C30 de la Organización Europea para la Investigación y el Tratamiento del Cáncer, versión 2.0.";"non-argumentative";"none"
"Las curvas de supervivencia se calcularon utilizando el método Kaplan-Meier, y los ratios de riesgo se estimaron utilizando el modelo de riesgos proporcionales de Cox.";"non-argumentative";"none"
"La proporción de pacientes sin progresión a los 2 años no fue estadísticamente significativa entre los dos brazos de tratamiento (40,0% para PT frente a 37, 5% para TC, diferencia = 2, 5%, intervalo de confianza unilateral del 95% [ IC ] = - infinito a 8, 2%).";"argumentative";"premise"
"La mediana de tiempo de supervivencia libre de progresión en el grupo de tratamiento con anticonceptivos (17,2 meses, IC del 95% = 15,2 a 19,3 meses) y en el grupo de tratamiento con antibióticos (19,1 meses, IC del 95% = 16,7 a 21,5 meses) tampoco fue estadísticamente significativa ""; """;"argumentative";"premise"
"lo mismo fue cierto para la mediana de tiempo de supervivencia global (de 43,3 meses, IC del 95% = 37,2 a 47,8 meses frente a 44,1 meses, IC del 95% = 40,2 a 49,4 meses, respectivamente, para los grupos de tratamiento con anticonceptivos y antibióticos).";"argumentative";"premise"
"El régimen de CT se asoció con una mayor frecuencia de toxicidad hematológica,";"argumentative";"premise"
"pero una menor frecuencia de toxicidad gastrointestinal y neurológica, que el régimen de PT.";"argumentative";"premise"
"Las puntuaciones medias de calidad de vida global al final del tratamiento fueron estadísticamente significativamente mejores en el grupo de terapia con terapia de terapia de terapia que en el grupo de terapia de terapia de terapia (respectivamente 65,25 frente a 51,97); diferencia = -13,28, 95% IC = -18,88 a -7,68).";"argumentative";"premise"
"El régimen de TC logró una eficacia comparable al régimen de PT, pero se asoció con una mejor tolerabilidad y calidad de vida, y por lo tanto debe considerarse como una alternativa importante para la quimioterapia estándar de primera línea en pacientes con cáncer de ovario avanzado.";"argumentative";"claim"
"El objetivo de este estudio fue comparar el rendimiento funcional y la calidad de vida a los 2 años en pacientes con carcinoma de células escamosas del esófago operable, que han recibido cirugía o quimiorradiación definitiva (CRT).";"non-argumentative";"none"
"Los resultados funcionales y la calidad de vida en pacientes que reciben esofagectomía o TCR definitiva son inciertos.";"non-argumentative";"none"
"Los datos fueron extraídos de la base de datos de un ensayo controlado aleatorio prospectivo que incluyó pacientes con cáncer de esófago torácico medio o inferior resecable.";"non-argumentative";"none"
"Los pacientes fueron asignados al azar a una esofagectomía estándar o a una TCR definitiva.";"non-argumentative";"none"
"Las evaluaciones de la calidad de vida se realizaron utilizando los módulos QLQ-C30 y QLQ-OES24 del EORTC.";"non-argumentative";"none"
"Otras evaluaciones funcionales incluyeron funciones pulmonares y de alimentación.";"non-argumentative";"none"
"De julio de 2000 a diciembre de 2004, se incluyó en el estudio a un total de 81 pacientes.";"non-argumentative";"none"
"No se detectaron cambios longitudinales significativos en el estado de salud global en ambos grupos tras el seguimiento disponible.";"argumentative";"premise"
"La cirugía se asoció con un empeoramiento de la función física y los síntomas de fatiga hasta 6 meses después del tratamiento (P < 0,001 y P = 0,021, respectivamente) y estas escalas mejoraron a los 2 años.";"argumentative";"premise"
"En cuanto a la función pulmonar, los síntomas de disnea y tos empeoraron significativamente 3 meses después de la cirugía (P = 0,024 y P = 0,036, respectivamente), mientras que los síntomas en el grupo de TCR se deterioraron progresivamente con el tiempo.";"argumentative";"premise"
"En cuanto a la función alimentaria, ambos grupos presentaron mejoras en la disfagia pero hubo una necesidad frecuente de intervención endoscópica.";"argumentative";"premise"
"Ni la cirugía ni la terapia de diagnóstico por cromosomas definitivos afectaron significativamente el estado de salud general de los pacientes.";"argumentative";"premise"
"La cirugía se asoció con un impacto negativo a corto plazo en algunos aspectos de las evaluaciones de la calidad de vida relacionadas con la salud,";"argumentative";"claim"
"pero estos cambios se volvieron insignificantes 2 años después del tratamiento.";"argumentative";"claim"
"Sin embargo,";"non-argumentative";"none"
"la TCR se asoció con deterioro progresivo de la función pulmonar a largo plazo.";"argumentative";"claim"
"Observar el efecto de la terapia de MTC para eliminar sustancias tóxicas y desbloquear meridianos en la calidad de vida después de la radiación (QOF) en 55 pacientes con cáncer de pulmón.";"non-argumentative";"none"
"Todos los pacientes fueron asignados al azar a dos grupos, los 55 pacientes del grupo tratado recibieron radioterapia combinada con la terapia de MTC, y los 53 del grupo de control recibieron radioterapia sola.";"non-argumentative";"none"
"La eficacia clínica se evaluó por índices que incluían las puntuaciones KPS, el cuestionario QLQ-C30, la escala específica LC13 para el cáncer de pulmón, los criterios de evaluación de la eficacia de la MTC, la distancia a pie de 6 minutos y el peso corporal, etc.";"non-argumentative";"none"
"La puntuación de KPS en el grupo tratado después del tratamiento mejoró en 13 pacientes (el 23,6%), se estabilizó en 27 (el 49,6%), y disminuyó en 15 (el 27,3%), mientras que en el grupo control mejoró en 7 (el 13,2%), se estabilizó en 21 (el 39,6%), y disminuyó en 25 (el 47,2%), la diferencia entre los dos grupos fue significativa (P < 0,05).";"argumentative";"premise"
