label_component_test_set_mistral_annotated;label_binary_test_set_mistral_annotated;date;sentence_text;content;year;newspaper;article_id;headline;paragraph_i;paragraph_text;sentence_j;label_binary_test_set_deepseek_annotated;label_component_test_set_deepseek_annotated;label_binary_majority;label_binary_n_agree;label_component_majority;label_component_n_agree;label_binary_final;label_component_final;label_source
premise;argumentative;2014-02-28;Mucha gente que ama viajar ya empezó a ahorrar para conocer Europa.;Más de tres millones de peruanos viven, estudian y trabajan en el extranjero. La mayoría está en Estados Unidos, Argentina, España, Italia y otros cinco países de Europa. La eliminación de la visa Schengen, aprobada por el Parlamento Europeo, es una bendición, casi un milagro para muchas familias en el Perú, pues les permitirá visitar a sus seres queridos en 26 países del Viejo Continente—hasta por 90 días. Hay que marcarlo, los peruanos tendremos la posibilidad de ir a esos países solo de visita, no para trabajar o quedarse. Cuántos padres podrán abrazar a sus hijos! Cuántos esposos se darán un beso después de varios años! Europa prohíbe el ingreso de peruanos por distintos motivos, como el temor a que se queden a laborar como ilegales. Pero la crisis europea, que los obliga a cuidar divisas mediante el turismo, y el desarrollo económico del Perú en los últimos años, han permitido que se tome esta decisión. No era justo que los europeos ingresasen a nuestro país libremente, mientras ellos nos cerraban las puertas de su casa. Pero la implementación de la medida tomará al menos un año más, que es el tiempo que deberán esperar las personas que deseen viajar. Los 26 destinos son: España, Alemania, Austria, Bélgica, Dinamarca, Eslovaquia, Eslovenia, Estonia, Finlandia, Francia, Grecia y Hungría. También Islandia, Italia, Letonia, Lituania, Luxemburgo, Malta, Noruega, Países Bajos, Polonia, Portugal, República Checa, Suecia, Suiza y Liechtenstein. No sólo se podrá viajar a visitar familiares, también en turístico. La mejor época para ir entre mayo y junio, cuando allá es primavera, lo que permitirá disfrutar de días soleados. Luego, de julio a octubre, es temporada alta, lo que eleva los precios de los vuelos, teles, restaurantes y otros servicios, pues en esa época muchos europeos salen de vacaciones y viajan. La época más barata para viajar entroneviembre y marzo, que es la temporada baja. Mucha gente que ama viajar ya empezó a ahorrar para conocer Europa. Un mes all puede costar unos 10 mil soles, incluidos pasajes y hoteles. Todo depende del destino elegido. Pero quienes piensen que Europa es un paraíso, se equivocan. La crisis económica los ha golpeado fuerte, por lo que hay millones de desempleados. Como si fuera poco, el racismo y la xenofobia son un peligro grande para los latinos, que han sufrido ataques violentos que hasta han terminado en muerte, lo que obliga a tomar precauciones si vas.;2014;trome;ART_008939;Euroopa abre sus puertas;4;Mucha gente que ama viajar ya empezó a ahorrar para conocer Europa. Un mes all puede costar unos 10 mil soles, incluidos pasajes y hoteles. Todo depende del destino elegido.;0;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2014-02-28;Un mes all puede costar unos 10 mil soles, incluidos pasajes y hoteles.;Más de tres millones de peruanos viven, estudian y trabajan en el extranjero. La mayoría está en Estados Unidos, Argentina, España, Italia y otros cinco países de Europa. La eliminación de la visa Schengen, aprobada por el Parlamento Europeo, es una bendición, casi un milagro para muchas familias en el Perú, pues les permitirá visitar a sus seres queridos en 26 países del Viejo Continente—hasta por 90 días. Hay que marcarlo, los peruanos tendremos la posibilidad de ir a esos países solo de visita, no para trabajar o quedarse. Cuántos padres podrán abrazar a sus hijos! Cuántos esposos se darán un beso después de varios años! Europa prohíbe el ingreso de peruanos por distintos motivos, como el temor a que se queden a laborar como ilegales. Pero la crisis europea, que los obliga a cuidar divisas mediante el turismo, y el desarrollo económico del Perú en los últimos años, han permitido que se tome esta decisión. No era justo que los europeos ingresasen a nuestro país libremente, mientras ellos nos cerraban las puertas de su casa. Pero la implementación de la medida tomará al menos un año más, que es el tiempo que deberán esperar las personas que deseen viajar. Los 26 destinos son: España, Alemania, Austria, Bélgica, Dinamarca, Eslovaquia, Eslovenia, Estonia, Finlandia, Francia, Grecia y Hungría. También Islandia, Italia, Letonia, Lituania, Luxemburgo, Malta, Noruega, Países Bajos, Polonia, Portugal, República Checa, Suecia, Suiza y Liechtenstein. No sólo se podrá viajar a visitar familiares, también en turístico. La mejor época para ir entre mayo y junio, cuando allá es primavera, lo que permitirá disfrutar de días soleados. Luego, de julio a octubre, es temporada alta, lo que eleva los precios de los vuelos, teles, restaurantes y otros servicios, pues en esa época muchos europeos salen de vacaciones y viajan. La época más barata para viajar entroneviembre y marzo, que es la temporada baja. Mucha gente que ama viajar ya empezó a ahorrar para conocer Europa. Un mes all puede costar unos 10 mil soles, incluidos pasajes y hoteles. Todo depende del destino elegido. Pero quienes piensen que Europa es un paraíso, se equivocan. La crisis económica los ha golpeado fuerte, por lo que hay millones de desempleados. Como si fuera poco, el racismo y la xenofobia son un peligro grande para los latinos, que han sufrido ataques violentos que hasta han terminado en muerte, lo que obliga a tomar precauciones si vas.;2014;trome;ART_008939;Euroopa abre sus puertas;4;Mucha gente que ama viajar ya empezó a ahorrar para conocer Europa. Un mes all puede costar unos 10 mil soles, incluidos pasajes y hoteles. Todo depende del destino elegido.;1;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2018-09-25;Un sicario se le acercó por la espalda y le disparó.;Antonio Tragodara Chávez, de 50 años, fue asesinado de siete balazos por dos sicarios encapuchados mientras esperaba ser atendido en una barbería, después de hacer algunas compras en el mercado. Un sicario se le acercó por la espalda y le disparó. La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal. Testigos señalan que los sicarios utilizaron armas de fuego con silenciador. Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa. Nadie escuchó el sonido debido al uso del silenciador. Este modus operandi ha sido identificado por la Policía como parte de un ajuste de cuentas. Testigos relatan que el asesino huyó en una mototaxi. La víctima, conocida como ‘Daqui’, había salido a comprar y acababa de regresar al lugar. Familiares evitan hablar del tema, limitándose a decir que él era una persona tranquila. Existen indicios de que pudo haber sido confundido con otra persona.;2018;trome;ART_008980;Taxista asesinado de varios balazos en La Perla;0;Antonio Tragodara Chávez, de 50 años, fue asesinado de siete balazos por dos sicarios encapuchados mientras esperaba ser atendido en una barbería, después de hacer algunas compras en el mercado. Un sicario se le acercó por la espalda y le disparó. La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal. Testigos señalan que los sicarios utilizaron armas de fuego con silenciador. Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa. Nadie escuchó el sonido debido al uso del silenciador. Este modus operandi ha sido identificado por la Policía como parte de un ajuste de cuentas. Testigos relatan que el asesino huyó en una mototaxi. La víctima, conocida como ‘Daqui’, había salido a comprar y acababa de regresar al lugar. Familiares evitan hablar del tema, limitándose a decir que él era una persona tranquila. Existen indicios de que pudo haber sido confundido con otra persona.;1;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2018-09-25;La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal.;Antonio Tragodara Chávez, de 50 años, fue asesinado de siete balazos por dos sicarios encapuchados mientras esperaba ser atendido en una barbería, después de hacer algunas compras en el mercado. Un sicario se le acercó por la espalda y le disparó. La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal. Testigos señalan que los sicarios utilizaron armas de fuego con silenciador. Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa. Nadie escuchó el sonido debido al uso del silenciador. Este modus operandi ha sido identificado por la Policía como parte de un ajuste de cuentas. Testigos relatan que el asesino huyó en una mototaxi. La víctima, conocida como ‘Daqui’, había salido a comprar y acababa de regresar al lugar. Familiares evitan hablar del tema, limitándose a decir que él era una persona tranquila. Existen indicios de que pudo haber sido confundido con otra persona.;2018;trome;ART_008980;Taxista asesinado de varios balazos en La Perla;0;Antonio Tragodara Chávez, de 50 años, fue asesinado de siete balazos por dos sicarios encapuchados mientras esperaba ser atendido en una barbería, después de hacer algunas compras en el mercado. Un sicario se le acercó por la espalda y le disparó. La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal. Testigos señalan que los sicarios utilizaron armas de fuego con silenciador. Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa. Nadie escuchó el sonido debido al uso del silenciador. Este modus operandi ha sido identificado por la Policía como parte de un ajuste de cuentas. Testigos relatan que el asesino huyó en una mototaxi. La víctima, conocida como ‘Daqui’, había salido a comprar y acababa de regresar al lugar. Familiares evitan hablar del tema, limitándose a decir que él era una persona tranquila. Existen indicios de que pudo haber sido confundido con otra persona.;2;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2018-09-25;Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa.;Antonio Tragodara Chávez, de 50 años, fue asesinado de siete balazos por dos sicarios encapuchados mientras esperaba ser atendido en una barbería, después de hacer algunas compras en el mercado. Un sicario se le acercó por la espalda y le disparó. La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal. Testigos señalan que los sicarios utilizaron armas de fuego con silenciador. Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa. Nadie escuchó el sonido debido al uso del silenciador. Este modus operandi ha sido identificado por la Policía como parte de un ajuste de cuentas. Testigos relatan que el asesino huyó en una mototaxi. La víctima, conocida como ‘Daqui’, había salido a comprar y acababa de regresar al lugar. Familiares evitan hablar del tema, limitándose a decir que él era una persona tranquila. Existen indicios de que pudo haber sido confundido con otra persona.;2018;trome;ART_008980;Taxista asesinado de varios balazos en La Perla;0;Antonio Tragodara Chávez, de 50 años, fue asesinado de siete balazos por dos sicarios encapuchados mientras esperaba ser atendido en una barbería, después de hacer algunas compras en el mercado. Un sicario se le acercó por la espalda y le disparó. La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal. Testigos señalan que los sicarios utilizaron armas de fuego con silenciador. Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa. Nadie escuchó el sonido debido al uso del silenciador. Este modus operandi ha sido identificado por la Policía como parte de un ajuste de cuentas. Testigos relatan que el asesino huyó en una mototaxi. La víctima, conocida como ‘Daqui’, había salido a comprar y acababa de regresar al lugar. Familiares evitan hablar del tema, limitándose a decir que él era una persona tranquila. Existen indicios de que pudo haber sido confundido con otra persona.;4;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2018-09-25;Testigos relatan que el asesino huyó en una mototaxi.;Antonio Tragodara Chávez, de 50 años, fue asesinado de siete balazos por dos sicarios encapuchados mientras esperaba ser atendido en una barbería, después de hacer algunas compras en el mercado. Un sicario se le acercó por la espalda y le disparó. La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal. Testigos señalan que los sicarios utilizaron armas de fuego con silenciador. Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa. Nadie escuchó el sonido debido al uso del silenciador. Este modus operandi ha sido identificado por la Policía como parte de un ajuste de cuentas. Testigos relatan que el asesino huyó en una mototaxi. La víctima, conocida como ‘Daqui’, había salido a comprar y acababa de regresar al lugar. Familiares evitan hablar del tema, limitándose a decir que él era una persona tranquila. Existen indicios de que pudo haber sido confundido con otra persona.;2018;trome;ART_008980;Taxista asesinado de varios balazos en La Perla;0;Antonio Tragodara Chávez, de 50 años, fue asesinado de siete balazos por dos sicarios encapuchados mientras esperaba ser atendido en una barbería, después de hacer algunas compras en el mercado. Un sicario se le acercó por la espalda y le disparó. La Policía informó que el crimen ocurrió a las 3 de la tarde en un pasaje ubicado entre las manzanas J15 y J16, cerca del lugar donde se realizaba una fiesta patronal. Testigos señalan que los sicarios utilizaron armas de fuego con silenciador. Según versiones preliminares, un joven de aproximadamente 20 a 23 años, vestido con polo amarillo y gorra negra, se le acercó por detrás y disparó a quemarropa. Nadie escuchó el sonido debido al uso del silenciador. Este modus operandi ha sido identificado por la Policía como parte de un ajuste de cuentas. Testigos relatan que el asesino huyó en una mototaxi. La víctima, conocida como ‘Daqui’, había salido a comprar y acababa de regresar al lugar. Familiares evitan hablar del tema, limitándose a decir que él era una persona tranquila. Existen indicios de que pudo haber sido confundido con otra persona.;7;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2019-04-30;El contrato de plazo fijo, por su parte, limita la relación laboral a un determinado período de tiempo.;Según la ley peruana, existen tres modalidades para el sector privado. A propósito del Día del Trabajo, que se celebra hoy, el estudio legal Miranda y Amado nos recuerda los tres tipos de contrato laboral que existen en el sector privado, según ley: Indefinido, el de plazo fijo y el de plazo parcial. El primero no tiene un plazo específico y solo termina si el empleador renuncia, es despedido o fallece. El trabajador debe estar registrado en la planilla, para recibir todos los beneficios que por ley ofrece el sistema laboral. El contrato de plazo fijo, por su parte, limita la relación laboral a un determinado período de tiempo. Este no podrá superar los cinco años. Además, solo se da en los casos que la ley lo habilite, por ejemplo, cuando una empresa recién inicia actividades o si un empleado está con descanso médico y se debe contratar a alguien para suplirlo. Aquí, los trabajadores tienen derecho a CTS, gratificación y otros beneficios. Finalmente, está el de plazo parcial, que se celebra cuando la jornada no supera las seis horas diarias. Este no cuenta con vacaciones, CTS o derecho a indemnización.;2019;publimetro;ART_008866;¿Cuáles son los tipos de contrato laboral?;0;Según la ley peruana, existen tres modalidades para el sector privado. A propósito del Día del Trabajo, que se celebra hoy, el estudio legal Miranda y Amado nos recuerda los tres tipos de contrato laboral que existen en el sector privado, según ley: Indefinido, el de plazo fijo y el de plazo parcial. El primero no tiene un plazo específico y solo termina si el empleador renuncia, es despedido o fallece. El trabajador debe estar registrado en la planilla, para recibir todos los beneficios que por ley ofrece el sistema laboral. El contrato de plazo fijo, por su parte, limita la relación laboral a un determinado período de tiempo. Este no podrá superar los cinco años. Además, solo se da en los casos que la ley lo habilite, por ejemplo, cuando una empresa recién inicia actividades o si un empleado está con descanso médico y se debe contratar a alguien para suplirlo. Aquí, los trabajadores tienen derecho a CTS, gratificación y otros beneficios. Finalmente, está el de plazo parcial, que se celebra cuando la jornada no supera las seis horas diarias. Este no cuenta con vacaciones, CTS o derecho a indemnización.;4;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2013-09-09;La buena situación económica que experimenta nuestro país en los últimos años, el incremento de oportunidades laborales en el mercado formal y una sustancial mejora en los sueldos han traído como consecuencia una alta rotación de trabajadores de cuadros intermedios y bajos en las empresas locales.;La buena situación económica que experimenta nuestro país en los últimos años, el incremento de oportunidades laborales en el mercado formal y una sustancial mejora en los sueldos han traído como consecuencia una alta rotación de trabajadores de cuadros intermedios y bajos en las empresas locales. Si hablamos de puestos y profesiones, definitivamente aquellos que están en el sector de ventas rotan casi anualmente, ya que los negocios de retail son los que siempre están en busca del mejor vendedor, explica Janine Claux, gerente de Empleabilidad de Laborum (www.laborum.pe). El mismo fenómeno se observa en operarios y dos medios de empresas mineras, en la banca e incluso en los medios de comunicación. Siempre hay alguien atento en busca de nuevos talentos, agrega, Los profesionales menores de 30 años son los que buscan frecuentemente una nueva oferta laboral con el objetivo de ganar mayor experiencia. Conforme avanzan en edad, estabilidad y tranquilidad se convierten en sus prioridades, sobre todo porque ya suelen tener una familia que sostener. Rotación. Para los más jóvenes, que están en busca de adquirir experiencia, el promedio de permanencia en una compañía es de solo dos años. Janine Claux, Gerente de Empleabilidad de Laborum Al momento de buscar un nuevo puesto, los hombres suelen preferir las ofertas con los mejores salarios y facilidades de desarrollo profesional, ya que, además de buscar el sustento de su hogar, para ellos es importante reflejar un mejor estatus y haber alcanzado el éxito, señala la especialista. Las mujeres, por su parte, además de procurar buenos sueldos, buscan beneficios que les den sobre todo una mejor calidad de vida y que les permitan balancear sus distintos roles. En general, existen tres tipos de trabajadores que siempre están motivados a dejar sus cargos y probar suerte en nuevos escenarios: Los primeros son aquellos, generalmente jóvenes, que pueden arriesgarse a comenzar en un ambiente nuevo porque aún no tienen familia ni grandes responsabilidades. También — suelen — buscar nuevas oportunidades las personas que llevan una cantidad importante de años en sus cargos y que ya no tienen posibilidades de ascenso en la empresa. Finalmente, suelen cambiar de trabajo las personas que sienten que han dado todo en sus puestos y que necesitan experimentar nuevas motivaciones y condiciones laborales. Aunque la nueva oferta pueda ser muy tentadora, Claux recomienda a las personas interesadas en cambiar de aires evaluar cuidadosamente la nueva opción antes de tomar una decisión. Se debe analizar la situación, hacer una lista de los pros y contras, preguntar a amigos que conozcan la empresa y aprovechar la entrevista laboral para tener una primera vista del ambiente donde se pretende ingresar. Todo este análisis previo es indispensable para no perder algo fijo por una idea equivocada, advierte Claux. Además, señala que pese a que es importante plantearse nuevas metas, cambiar muy a menudo de trabajo puede dar la imagen de que se trata de una persona inestable y con un bajo sentido de identificación y compromiso con la empresa.;2013;publimetro;ART_008882;LA ROTACIN LABORAL SE HACE CADA VEZ MÁS COMÚN;0;La buena situación económica que experimenta nuestro país en los últimos años, el incremento de oportunidades laborales en el mercado formal y una sustancial mejora en los sueldos han traído como consecuencia una alta rotación de trabajadores de cuadros intermedios y bajos en las empresas locales. Si hablamos de puestos y profesiones, definitivamente aquellos que están en el sector de ventas rotan casi anualmente, ya que los negocios de retail son los que siempre están en busca del mejor vendedor, explica Janine Claux, gerente de Empleabilidad de Laborum (www.laborum.pe). El mismo fenómeno se observa en operarios y dos medios de empresas mineras, en la banca e incluso en los medios de comunicación. Siempre hay alguien atento en busca de nuevos talentos, agrega.;0;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2017-02-13;Con el cambio de mandato del gobierno estadounidense, incluso se pide que se reserve una cita para la renovación del documento.;Gen visa a los peruanos para ingresar a su territorio. Con el cambio de mandato del gobierno estadounidense, incluso se pide que se reserve una cita para la renovación del documento. Canadá y Estados Unidos son dos de los países de América que exigen visado. En Europa, también solicitan este requisito Reino Unido, Ucrania, Albania, Macedonia, Montenegro, Serbia y Bosnia. Además, Siria, Egipto, Australia y China.;2017;trome;ART_008923;PERUANOS NECESITAN VISAS PARA INGRESAR A EU;0;Gen visa a los peruanos para ingresar a su territorio. Con el cambio de mandato del gobierno estadounidense, incluso se pide que se reserve una cita para la renovación del documento. Canadá y Estados Unidos son dos de los países de América que exigen visado. En Europa, también solicitan este requisito Reino Unido, Ucrania, Albania, Macedonia, Montenegro, Serbia y Bosnia. Además, Siria, Egipto, Australia y China.;1;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
premise;argumentative;2017-02-13;Canadá y Estados Unidos son dos de los países de América que exigen visado.;Gen visa a los peruanos para ingresar a su territorio. Con el cambio de mandato del gobierno estadounidense, incluso se pide que se reserve una cita para la renovación del documento. Canadá y Estados Unidos son dos de los países de América que exigen visado. En Europa, también solicitan este requisito Reino Unido, Ucrania, Albania, Macedonia, Montenegro, Serbia y Bosnia. Además, Siria, Egipto, Australia y China.;2017;trome;ART_008923;PERUANOS NECESITAN VISAS PARA INGRESAR A EU;0;Gen visa a los peruanos para ingresar a su territorio. Con el cambio de mandato del gobierno estadounidense, incluso se pide que se reserve una cita para la renovación del documento. Canadá y Estados Unidos son dos de los países de América que exigen visado. En Europa, también solicitan este requisito Reino Unido, Ucrania, Albania, Macedonia, Montenegro, Serbia y Bosnia. Además, Siria, Egipto, Australia y China.;2;non-argumentative;none;argumentative;1;none;1;non-argumentative;none;auto_conservative
claim;argumentative;2019-01-08;En tanto, el agente 502 William Soto Prado qued detenido en la comisaría de San Lucas de Colán.;Una joven mujer y una menor fallecieron el pasado domingo tras el choque de un mototaxi y una camioneta, que era conducida por un agente de la Policía. El accidente tuvo lugar en el distrito de Colán, en la provincia piurana de Paita, cuando las víctimas regresaban de la playa junto a su familia. En tanto, el agente 502 William Soto Prado qued detenido en la comisaría de San Lucas de Colán.;2019;correo;ART_000432;Piura. Detienen a policía tras provocar choque que dej 2 personas fallecidas;0;Una joven mujer y una menor fallecieron el pasado domingo tras el choque de un mototaxi y una camioneta, que era conducida por un agente de la Policía. El accidente tuvo lugar en el distrito de Colán, en la provincia piurana de Paita, cuando las víctimas regresaban de la playa junto a su familia. En tanto, el agente 502 William Soto Prado qued detenido en la comisaría de San Lucas de Colán.;2;non-argumentative;none;argumentative;1;claim;1;non-argumentative;none;auto_conservative
